Place,Geo,Date,Source,Median Income
"Carmel town, Penobscot County,Maine",Town,1990,P080A STF3,$27463
"Carrabassett Valley town, Franklin County,Maine",Town,1990,P080A STF3,$27344
"Carroll plantation, Penobscot County,Maine",Town,1990,P080A STF3,$11500
"Carthage town, Franklin County,Maine",Town,1990,P080A STF3,$26389
"Cary plantation, Aroostook County,Maine",Town,1990,P080A STF3,$21563
"Casco town, Cumberland County,Maine",Town,1990,P080A STF3,$28133
"Castine town, Hancock County,Maine",Town,1990,P080A STF3,$35104
"Castle Hill town, Aroostook County,Maine",Town,1990,P080A STF3,$23846
"Caswell town, Aroostook County,Maine",Town,1990,P080A STF3,$20652
"Centerville town, Washington County,Maine",Town,1990,P080A STF3,$34167
"Central Aroostook unorg., Aroostook County,Maine",Town,1990,P080A STF3,$30781
"Central Hancock unorg., Hancock County,Maine",Town,1990,P080A STF3,$20375
"Central Somerset unorg., Somerset County,Maine",Town,1990,P080A STF3,$15500
"Chapman town, Aroostook County,Maine",Town,1990,P080A STF3,$28864
"Charleston town, Penobscot County,Maine",Town,1990,P080A STF3,$27424
"Charlotte town, Washington County,Maine",Town,1990,P080A STF3,$23214
"Chelsea town, Kennebec County,Maine",Town,1990,P080A STF3,$26271
"Cherryfield town, Washington County,Maine",Town,1990,P080A STF3,$20000
"Chester town, Penobscot County,Maine",Town,1990,P080A STF3,$30750
"Chesterville town, Franklin County,Maine",Town,1990,P080A STF3,$25875
"China town, Kennebec County,Maine",Town,1990,P080A STF3,$34441
"Clifton town, Penobscot County,Maine",Town,1990,P080A STF3,$24265
"Clinton town, Kennebec County,Maine",Town,1990,P080A STF3,$29667
"Codyville plantation, Washington County,Maine",Town,1990,P080A STF3,$27083
"Columbia Falls town, Washington County,Maine",Town,1990,P080A STF3,$20536
"Columbia town, Washington County,Maine",Town,1990,P080A STF3,$17500
"Connor unorg., Aroostook County,Maine",Town,1990,P080A STF3,$21786
"Cooper town, Washington County,Maine",Town,1990,P080A STF3,$21750
"Coplin plantation, Franklin County,Maine",Town,1990,P080A STF3,$32708
"Corinna town, Penobscot County,Maine",Town,1990,P080A STF3,$22236
"Corinth town, Penobscot County,Maine",Town,1990,P080A STF3,$26383
"Cornish town, York County,Maine",Town,1990,P080A STF3,$28158
"Cornville town, Somerset County,Maine",Town,1990,P080A STF3,$25625
"Cranberry Isles town, Hancock County,Maine",Town,1990,P080A STF3,$20417
"Crawford town, Washington County,Maine",Town,1990,P080A STF3,$25833
"Criehaven unorg., Knox County,Maine",Town,1990,P080A STF3,$0
"Crystal town, Aroostook County,Maine",Town,1990,P080A STF3,$24375
"Cumberland town, Cumberland County,Maine",Town,1990,P080A STF3,$50161
"Cushing town, Knox County,Maine",Town,1990,P080A STF3,$25606
"Cutler town, Washington County,Maine",Town,1990,P080A STF3,$20458
"Cyr plantation, Aroostook County,Maine",Town,1990,P080A STF3,$16250
"Dallas plantation, Franklin County,Maine",Town,1990,P080A STF3,$25000
"Damariscotta town, Lincoln County,Maine",Town,1990,P080A STF3,$30571
"Danforth town, Washington County,Maine",Town,1990,P080A STF3,$19583
"Dayton town, York County,Maine",Town,1990,P080A STF3,$35114
"Deblois town, Washington County,Maine",Town,1990,P080A STF3,$23000
"Dedham town, Hancock County,Maine",Town,1990,P080A STF3,$32237
"Deer Isle town, Hancock County,Maine",Town,1990,P080A STF3,$21852
"Denmark town, Oxford County,Maine",Town,1990,P080A STF3,$27500
"Dennistown plantation, Somerset County,Maine",Town,1990,P080A STF3,$9042
"Dennysville town, Washington County,Maine",Town,1990,P080A STF3,$17143
"Detroit town, Somerset County,Maine",Town,1990,P080A STF3,$21797
"Dexter town, Penobscot County,Maine",Town,1990,P080A STF3,$21066
"Dixfield town, Oxford County,Maine",Town,1990,P080A STF3,$24782
"Dixmont town, Penobscot County,Maine",Town,1990,P080A STF3,$27833
"Dover-Foxcroft town, Piscataquis County,Maine",Town,1990,P080A STF3,$23799
"Dresden town, Lincoln County,Maine",Town,1990,P080A STF3,$29914
"Drew plantation, Penobscot County,Maine",Town,1990,P080A STF3,$13750
"Durham town, Androscoggin County,Maine",Town,1990,P080A STF3,$35720
"Dyer Brook town, Aroostook County,Maine",Town,1990,P080A STF3,$24583
"E plantation, Aroostook County,Maine",Town,1990,P080A STF3,$20625
"Eagle Lake town, Aroostook County,Maine",Town,1990,P080A STF3,$18438
"East Central Franklin unorg., Franklin County,Maine",Town,1990,P080A STF3,$24063
"East Central Penobscot unorg., Penobscot County,Maine",Town,1990,P080A STF3,$0
"East Central Washington unorg., Washington County,Maine",Town,1990,P080A STF3,$17396
"East Hancock unorg., Hancock County,Maine",Town,1990,P080A STF3,$27500
"East Machias town, Washington County,Maine",Town,1990,P080A STF3,$21094
"East Millinocket town, Penobscot County,Maine",Town,1990,P080A STF3,$31008
"Eastbrook town, Hancock County,Maine",Town,1990,P080A STF3,$25147
"Easton town, Aroostook County,Maine",Town,1990,P080A STF3,$22171
"Eastport city, Washington County,Maine",Town,1990,P080A STF3,$17282
"Eddington town, Penobscot County,Maine",Town,1990,P080A STF3,$30033
